Cod_Classe;Cod_Test;Regione;Data Validit…;Categoria;Uso;Specialita;CtarG Prova;Euro;DataCostruzione;CIntegrazioneComplessi;Alimentazione;C_KW;C_CV;Potenza;HP;Cilindrata;Ecologico;InstazioneImpianto;DataInstazioneImpianto;Portata;;AssiMotrice;AssiRimorchio;SospensioniPneumatiche;GncioTraino;PesoRimorchio;12(mensilità);11;10;9;8;7;6;5;4;3;2;1;
Bollo.c01.465;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.466;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;90;125;;;;;;;;;;;179;172,69;156,91;141,13;125,35;109,57;94,69;78,9;63,12;47,16;31,38;15,69;
Bollo.c01.467;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.468;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.469;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.470;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;60;125;;;;;;;;;;;128;123,49;112,21;100,93;89,65;78,37;67,69;56,4;45,12;33,72;22,44;11,22;
Bollo.c01.471;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.472;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.473;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.474;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;50;125;;;;;;;;;;;111;107,09;97,31;87,53;77,75;67,97;58,69;48,9;39,12;29,24;19,46;9,73;
Bollo.c01.475;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.476;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.477;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;40;125;;;;;;;;;;;94;90,69;82,41;74,13;65,85;57,57;49,69;41,4;33,12;24,76;16,48;8,24;
Bollo.c01.478;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.479;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;125;;;;;;;;;;;196;189,09;171,81;154,53;137,25;119,97;103,69;86,4;69,12;51,64;34,36;17,18;
Bollo.c01.480;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;130;200;;;;;;;;;;;62,4;59,96;54,45;49,07;43,56;38,18;32,67;27,29;21,78;16,4;10,89;5,51;
Bollo.c01.481;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.482;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;90;200;;;;;;;;;;;45,2;43,44;39,45;35,55;31,56;27,66;23,67;19,77;15,78;11,88;7,89;3,99;
Bollo.c01.483;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.484;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.485;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.486;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;60;200;;;;;;;;;;;32,3;31,05;28,2;25,41;22,56;19,77;16,92;14,13;11,28;8,49;5,64;2,85;
Bollo.c01.487;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2022;;B;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.488;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.489;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.490;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;50;200;;;;;;;;;;;28;26,92;24,45;22,03;19,56;17,14;14,67;12,25;9,78;7,36;4,89;2,47;
Bollo.c01.491;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.492;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.493;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;40;200;;;;;;;;;;;23,7;22,79;20,7;18,65;16,56;14,51;12,42;10,37;8,28;6,23;4,14;2,09;
Bollo.c01.494;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.495;01-01;UMBRIA;01/01/2022;MZ;PP;;;0;01/01/2018;;ELE;SI;;;100;200;;;;;;;;;;;49,5;47,57;43,2;38,93;34,56;30,29;25,92;21,65;17,28;13,01;8,64;4,37;
Bollo.c01.496;01-01;UMBRIA;01/01/2022;MM;PC;;;;01/01/2022;;B;SI;;;;400;;;;1000;11999;2;;SI;;;42,79;40,44;36,76;33,08;29,41;25,73;22,06;18,38;14,7;11,03;7,35;3,68;
Bollo.c01.497;01-01;UMBRIA;01/01/2022;MM;PC;;;;01/01/2018;;ELE;;;;;500;;;;1000;11999;2;;SI;;;44,93;42,46;38,6;34,74;30,88;27,02;23,16;19,3;15,44;11,58;7,72;3,86;
Bollo.c01.498;01-01;UMBRIA;01/01/2022;MS;PS;;;;01/01/2022;;B;SI;;;;400;;;;1000;11999;2;;SI;;;42,79;40,44;36,76;33,08;29,41;25,73;22,06;18,38;14,7;11,03;7,35;3,68;
Bollo.c01.499;01-01;UMBRIA;01/01/2022;MS;PS;;;;01/01/2018;;ELE;;;;;500;;;;1000;11999;2;;SI;;;44,93;42,46;38,6;34,74;30,88;27,02;23,16;19,3;15,44;11,58;7,72;3,86;
Bollo.c01.500;01-01;UMBRIA;01/01/2022;QS;PS;;;;01/01/2022;;B;SI;;;;500;;;;2000;11999;2;;SI;;;84,86;80,2;72,91;65,62;58,32;51,03;43,74;36,45;29,16;21,87;14,58;7,29;
Bollo.c01.501;01-01;UMBRIA;01/01/2022;QS;NC;;;;01/01/2018;;ELE;;;;;500;;;;2000;11999;2;;SI;;;84,86;80,2;72,91;65,62;58,32;51,03;43,74;36,45;29,16;21,87;14,58;7,29;
Bollo.c01.502;01-01;UMBRIA;01/01/2022;QS;NR;;;;01/01/2022;;B;SI;;;;500;;;;2000;11999;2;;SI;;;84,86;80,2;72,91;65,62;58,32;51,03;43,74;36,45;29,16;21,87;14,58;7,29;
Bollo.c01.503;01-01;UMBRIA;01/01/2022;QC;NC;;;;01/01/2022;;B;SI;;;;500;;;;2000;11999;2;;SI;;;84,86;80,2;72,91;65,62;58,32;51,03;43,74;36,45;29,16;21,87;14,58;7,29;
Bollo.c01.504;01-01;UMBRIA;01/01/2022;QC;NR;;;;01/01/2018;;ELE;;;;;500;;;;2000;11999;2;;SI;;;84,86;80,2;72,91;65,62;58,32;51,03;43,74;36,45;29,16;21,87;14,58;7,29;
Bollo.c01.505;01-01;UMBRIA;01/01/2022;QC;PC;;;;01/01/2022;;B;SI;;;;500;;;;2000;11999;2;;SI;;;84,86;80,2;72,91;65,62;58,32;51,03;43,74;36,45;29,16;21,87;14,58;7,29;
Bollo.c01.522;01-01;UMBRIA;01/01/2022;RM;PC;;;;01/01/2022;;;;;;;;;;;400;1000;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;
Bollo.c01.523;01-01;UMBRIA;01/01/2022;SM;PC;;;;01/01/2022;;;;;;;;;;;400;1000;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;
Bollo.c01.524;01-01;UMBRIA;01/01/2022;VC;;;;;01/01/2022;;;;;;;;;;;;;;;;;;19,11;19,11;19,11;19,11;19,11;19,11;19,11;19,11;19,11;19,11;19,11;19,11;
Bollo.c01.525;01-01;UMBRIA;01/01/2022;QL;;;;;01/01/2022;;;;;;;;;;;;;;;;;;50;50;50;50;50;50;50;50;50;50;50;50;
Bollo.c01.526;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;39;36,6;33;29,94;26,64;23,28;19,98;16,62;13,32;9,96;6,66;3,3;
Bollo.c01.527;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;300;283;258;232;206;180;155;129;103;77;51,5;25,8;
Bollo.c01.528;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;462;434,56;395,88;355,84;316,16;276,48;237,8;197,76;158,08;118,4;79,22;39,59;
Bollo.c01.529;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;466,5;438,77;399,71;359,28;319,22;279,16;240,1;199,67;159,61;119,55;79,99;39,97;
Bollo.c01.530;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;750;704;641;576;512;448;385;320;256;192;128,5;64,1;
Bollo.c01.531;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;180;169,8;154,8;139,2;123,6;108;93;77,4;61,8;46,2;30,9;15,48;
Bollo.c01.532;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;300;283;258;232;206;180;155;129;103;77;51,5;25,8;
Bollo.c01.533;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;462;434,56;395,88;355,84;316,16;276,48;237,8;197,76;158,08;118,4;79,22;39,59;
Bollo.c01.534;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;466,5;438,77;399,71;359,28;319,22;279,16;240,1;199,67;159,61;119,55;79,99;39,97;
Bollo.c01.535;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;750;704;641;576;512;448;385;320;256;192;128,5;64,1;
Bollo.c01.536;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;174;164,4;149,4;134,4;119,4;104,4;90;75;60;45;29,88;14,94;
Bollo.c01.537;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;290;274;249;224;199;174;150;125;100;75;49,8;24,9;
Bollo.c01.538;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;446,6;421,96;383,28;344,96;306,64;267,96;230,64;192,32;153,64;115,32;76,8;38,33;
Bollo.c01.539;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;450,95;426,07;387,01;348,32;309,63;270,57;232,88;194,19;155,13;116,44;77,55;38,7;
Bollo.c01.540;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;725;685;622;560;498;435;374;312;249;187;124,8;62,2;
Bollo.c01.541;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;174;164,4;149,4;134,4;119,4;104,4;90;75;60;45;29,88;14,94;
Bollo.c01.542;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;290;274;249;224;199;174;150;125;100;75;49,8;24,9;
Bollo.c01.543;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;446,6;421,96;383,28;344,96;306,64;267,96;230,64;192,32;153,64;115,32;76,8;38,33;
Bollo.c01.544;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;450,95;426,07;387,01;348,32;309,63;270,57;232,88;194,19;155,13;116,44;77,55;38,7;
Bollo.c01.545;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;725;685;622;560;498;435;374;312;249;187;124,8;62,2;
Bollo.c01.546;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;168;158,4;144;129,6;115,2;100,8;86,4;72;57,6;43,2;28,8;14,4;
Bollo.c01.547;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;280;264;240;216;192;168;144;120;96;72;48;24;
Bollo.c01.548;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;431,2;406,92;369,96;333;296,04;259,08;222,12;184,8;147,84;110,88;73,92;37;
Bollo.c01.549;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;435,4;410,89;373,57;336,25;298,93;261,61;224,29;186,6;149,28;111,96;74,64;37,36;
Bollo.c01.550;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;700;661;601;541;481;421;361;300;240;180;120;60,1;
Bollo.c01.551;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;168;158,4;144;129,6;115,2;100,8;86,4;72;57,6;43,2;28,8;14,4;
Bollo.c01.552;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;280;264;240;216;192;168;144;120;96;72;48;24;
Bollo.c01.553;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;431,2;406,92;369,96;333;296,04;259,08;222,12;184,8;147,84;110,88;73,92;37;
Bollo.c01.554;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;435,4;410,89;373,57;336,25;298,93;261,61;224,29;186,6;149,28;111,96;74,64;37,36;
Bollo.c01.555;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;700;661;601;541;481;421;361;300;240;180;120;60,1;
Bollo.c01.556;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;162;153;139,2;125,4;111;97,2;83,4;69,6;55,8;42;27,78;13,92;
Bollo.c01.557;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;270;255;232;209;185;162;139;116;93;70;46,3;23,2;
Bollo.c01.558;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;415,8;392,52;357,28;321,68;285,08;249,48;214,24;178,64;143,04;107,44;71,5;35,73;
Bollo.c01.559;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;419,85;396,34;360,76;324,81;287,86;251,91;216,33;180,38;144,43;108,48;72,2;36,08;
Bollo.c01.560;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;675;637;580;522;463;405;348;290;232;174;116,3;58;
Bollo.c01.561;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;162;153;139,2;125,4;111;97,2;83,4;69,6;55,8;42;27,78;13,92;
Bollo.c01.562;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;270;255;232;209;185;162;139;116;93;70;46,3;23,2;
Bollo.c01.563;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;415,8;392,52;357,28;321,68;285,08;249,48;214,24;178,64;143,04;107,44;71,5;35,73;
Bollo.c01.564;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;419,85;396,34;360,76;324,81;287,86;251,91;216,33;180,38;144,43;108,48;72,2;36,08;
Bollo.c01.565;01-01;UMBRIA;01/01/2022;AV;PV;;;3;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;675;637;580;522;463;405;348;290;232;174;116,3;58;
Bollo.c01.566;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;154,8;146,4;133,2;120;106,2;93;79,8;66,6;53,4;40,2;26,58;13,32;
Bollo.c01.567;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;258;244;222;200;177;155;133;111;89;67;44,3;22,2;
Bollo.c01.568;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;397,32;375,76;341,88;307,64;272,76;238,88;205;170,76;136,88;103;68,42;34,19;
Bollo.c01.569;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;401,19;379,42;345,21;310,63;275,42;241,21;207;172,42;138,21;104;69,09;34,52;
Bollo.c01.570;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;645;610;555;499;443;388;333;277;222;167;111,3;55,5;
Bollo.c01.571;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;60;;;;;;;;;NO;;;154,8;146,4;133,2;120;106,2;93;79,8;66,6;53,4;40,2;26,58;13,32;
Bollo.c01.572;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;100;;;;;;;;;NO;;;258;244;222;200;177;155;133;111;89;67;44,3;22,2;
Bollo.c01.573;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;136;;;;;;;;;NO;;;397,32;375,76;341,88;307,64;272,76;238,88;205;170,76;136,88;103;68,42;34,19;
Bollo.c01.574;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;137;;;;;;;;;NO;;;401,19;379,42;345,21;310,63;275,42;241,21;207;172,42;138,21;104;69,09;34,52;
Bollo.c01.575;01-01;UMBRIA;01/01/2022;AV;PV;;;4;01/01/2022;;B;SI;;;200;;;;;;;;;NO;;;645;610;555;499;443;388;333;277;222;167;111,3;55,5;
Bollo.c01.576;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;39;36,6;33;29,94;26,64;23,28;19,98;16,62;13,32;9,96;6,66;3,3;
Bollo.c01.577;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;65;61;55;49,9;44,4;38,8;33,3;27,7;22,2;16,6;11,1;5,5;
Bollo.c01.578;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;88,4;82,96;74,8;67,86;60,38;52,77;45,29;37,67;30,19;22,58;15,1;7,48;
Bollo.c01.579;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;137;;;;;;;;;NO;;;89,05;83,57;75,35;68,36;60,83;53,16;45,62;37,95;30,41;22,74;15,21;7,54;
Bollo.c01.580;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;200;;;;;;;;;NO;;;130;122;110;99,8;88,8;77,6;66,6;55,4;44,4;33,2;22,2;11;
Bollo.c01.581;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;39;36,6;33;29,94;26,64;23,28;19,98;16,62;13,32;9,96;6,66;3,3;
Bollo.c01.582;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;65;61;55;49,9;44,4;38,8;33,3;27,7;22,2;16,6;11,1;5,5;
Bollo.c01.583;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;88,4;82,96;74,8;67,86;60,38;52,77;45,29;37,67;30,19;22,58;15,1;7,48;
Bollo.c01.584;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;137;;;;;;;;;NO;;;89,05;83,57;75,35;68,36;60,83;53,16;45,62;37,95;30,41;22,74;15,21;7,54;
Bollo.c01.585;01-01;UMBRIA;01/01/2022;AV;PV;;;0;01/01/2018;;ELE;SI;;;200;;;;;;;;;NO;;;130;122;110;99,8;88,8;77,6;66,6;55,4;44,4;33,2;22,2;11;
Bollo.c01.586;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;39;36,6;33;29,94;26,64;23,28;19,98;16,62;13,32;9,96;6,66;3,3;
Bollo.c01.587;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;65;61;55;49,9;44,4;38,8;33,3;27,7;22,2;16,6;11,1;5,5;
Bollo.c01.588;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;88,4;82,96;74,8;67,86;60,38;52,77;45,29;37,67;30,19;22,58;15,1;7,48;
Bollo.c01.589;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;137;;;;;;;;;NO;;;89,05;83,57;75,35;68,36;60,83;53,16;45,62;37,95;30,41;22,74;15,21;7,54;
Bollo.c01.590;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;200;;;;;;;;;NO;;;130;122;110;99,8;88,8;77,6;66,6;55,4;44,4;33,2;22,2;11;
Bollo.c01.591;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;39;36,6;33;29,94;26,64;23,28;19,98;16,62;13,32;9,96;6,66;3,3;
Bollo.c01.592;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;65;61;55;49,9;44,4;38,8;33,3;27,7;22,2;16,6;11,1;5,5;
Bollo.c01.593;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;88,4;82,96;74,8;67,86;60,38;52,77;45,29;37,67;30,19;22,58;15,1;7,48;
Bollo.c01.594;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;137;;;;;;;;;NO;;;89,05;83,57;75,35;68,36;60,83;53,16;45,62;37,95;30,41;22,74;15,21;7,54;
Bollo.c01.595;01-01;UMBRIA;01/01/2022;AV;PV;;;1;01/01/2018;;ELE;SI;;;200;;;;;;;;;NO;;;130;122;110;99,8;88,8;77,6;66,6;55,4;44,4;33,2;22,2;11;
Bollo.c01.596;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;39;36,6;33;29,94;26,64;23,28;19,98;16,62;13,32;9,96;6,66;3,3;
Bollo.c01.597;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;65;61;55;49,9;44,4;38,8;33,3;27,7;22,2;16,6;11,1;5,5;
Bollo.c01.598;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;88,4;82,96;74,8;67,86;60,38;52,77;45,29;37,67;30,19;22,58;15,1;7,48;
Bollo.c01.599;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2018;;ELE;SI;;;137;;;;;;;;;NO;;;89,05;83,57;75,35;68,36;60,83;53,16;45,62;37,95;30,41;22,74;15,21;7,54;
Bollo.c01.600;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2018;;ELE;SI;;;200;;;;;;;;;NO;;;130;122;110;99,8;88,8;77,6;66,6;55,4;44,4;33,2;22,2;11;
Bollo.c01.601;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;39;36,6;33;29,94;26,64;23,28;19,98;16,62;13,32;9,96;6,66;3,3;
Bollo.c01.602;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;65;61;55;49,9;44,4;38,8;33,3;27,7;22,2;16,6;11,1;5,5;
Bollo.c01.603;01-01;UMBRIA;01/01/2022;AV;PV;;;2;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;88,4;82,96;74,8;67,86;60,38;52,77;45,29;37,67;30,19;22,58;15,1;7,48;
